region_id,screen_name,asset_filename,asset_relative_path,ue_asset_path,source_art_path,width,height,color_mode,has_alpha,shared,usage,notes,sha256
R01_background,11_BattleBoard/Terrains/07_Cave_洞窟,T_BattleArena_Cave_GeneratedV2.png,T_BattleArena_Cave_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Cave_GeneratedV2.T_BattleArena_Cave_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",4e591cca8329685d7021254b18d6bc8a5a65481ec23b948f54c2f414c2661262
C01,11_BattleBoard/Terrains/07_Cave_洞窟,CODE_DRAWN,,,,,,,,true,文字、数值、纯色块与程序边框,No replacement PNG.,
