region_id,screen_name,asset_filename,asset_relative_path,ue_asset_path,source_art_path,width,height,color_mode,has_alpha,shared,usage,notes,sha256
R01_background,11_BattleBoard/Terrains/05_Ferry_渡口,T_BattleArena_Ferry_GeneratedV2.png,T_BattleArena_Ferry_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Ferry_GeneratedV2.T_BattleArena_Ferry_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",e526ec2d0c74ec959244ee0f4815ace4b7f8daa4885b5262d68034133bc802c7
C01,11_BattleBoard/Terrains/05_Ferry_渡口,CODE_DRAWN,,,,,,,,true,文字、数值、纯色块与程序边框,No replacement PNG.,
