region_id,screen_name,asset_filename,ue_asset_path,source_art_path,width,height,color_mode,has_alpha,shared,usage,notes,sha256
R03_character,DesktopTrainingWorkbench_Default,starter_shoes.png,/Game/GameXXK/UI/StarterEquipment/starter_shoes.starter_shoes,SourceArt/UI/PSD/gamexxk-v4/calibration-v2/Generated/items/split/starter_shoes.png,512,512,RGBA,true,false,主角立绘与六件装备图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",3e64be85b0750cd72bfe8ca131a2c6a3a2ca3ccdc0650b3c18d7208e952918b4
R03_character,DesktopTrainingWorkbench_Default,starter_accessory.png,/Game/GameXXK/UI/StarterEquipment/starter_accessory.starter_accessory,SourceArt/UI/PSD/gamexxk-v4/calibration-v2/Generated/items/split/starter_accessory.png,512,512,RGBA,true,false,主角立绘与六件装备图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",d2c15b89314dd9962bd03c730f1734ebd59f81611774ed6b4909768f525833c0
R04_backpack_items,DesktopTrainingWorkbench_Default,T_ItemHealingPowder.png,/Game/GameXXK/UI/Inventory/Textures/T_ItemHealingPowder.T_ItemHealingPowder,,256,256,RGBA,true,false,背包内当前可见道具图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",6287c91357e887cb1a3f0251d292062625f5c3e67df3bd38da19ac5ecd1900a5
R04_backpack_items,DesktopTrainingWorkbench_Default,strengthening_stone.png,/Game/GameXXK/UI/Items/strengthening_stone.strengthening_stone,SourceArt/UI/PSD/gamexxk-v4/calibration-v2/Content/Items/strengthening_stone.png,512,512,RGBA,true,false,背包内当前可见道具图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",f88a845c087bc7fe311765f050b1c0f527bebf1db314460c833c192969afb3c7
R05_roster,DesktopTrainingWorkbench_Default,T_CardPortrait_Hero.png,/Game/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Hero.T_CardPortrait_Hero,,171,205,RGBA,true,false,主角 / 伙伴 / NPC 入口头像,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",d0cf7373dcf47783d9fda80a3654df001b73b0b437bc91d41f7de001e3745f60
R05_roster,DesktopTrainingWorkbench_Default,T_CardPortrait_Role_Blade.png,/Game/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Role_Blade.T_CardPortrait_Role_Blade,,171,205,RGBA,true,false,主角 / 伙伴 / NPC 入口头像,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",bb4b729318b6ff06817a825bea2ee1d6aeddb08db3f60ad7c67088ca7e56c8a2
R05_roster,DesktopTrainingWorkbench_Default,T_CardPortrait_Npc_TusiChief.png,/Game/GameXXK/UI/PartyDeck/CardArt/T_CardPortrait_Npc_TusiChief.T_CardPortrait_Npc_TusiChief,,171,205,RGBA,true,false,主角 / 伙伴 / NPC 入口头像,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",daafe5511984b8a86a76f3d5a1267233aef29f812619a3d08ee93b96203ff516
R06_bottom_nav,DesktopTrainingWorkbench_Default,T_TrainingNavWarehouse.png,/Game/GameXXK/UI/ImageTruth/Training/T_TrainingNavWarehouse.T_TrainingNavWarehouse,,1254,1254,RGBA,true,true,底部五导航图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",773c5d2489f95149a6e4efac3913c9d9729c7884744eb60036bda665bf95b77a
R06_bottom_nav,DesktopTrainingWorkbench_Default,T_TrainingNavFormation.png,/Game/GameXXK/UI/ImageTruth/Training/T_TrainingNavFormation.T_TrainingNavFormation,,1254,1254,RGBA,true,true,底部五导航图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",8223ff6b47b1122e835ca0102755226dc6289b93df0ca28145d0238761663c46
R06_bottom_nav,DesktopTrainingWorkbench_Default,T_TrainingNavTalents.png,/Game/GameXXK/UI/ImageTruth/Training/T_TrainingNavTalents.T_TrainingNavTalents,,1305,1205,RGBA,true,true,底部五导航图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",ab5da9dc2e86699f578d6db93191ee89484daaa6ce788c0315b1d8c229be7ddc
R06_bottom_nav,DesktopTrainingWorkbench_Default,T_TrainingNavTools.png,/Game/GameXXK/UI/ImageTruth/Training/T_TrainingNavTools.T_TrainingNavTools,,1273,1236,RGBA,true,true,底部五导航图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",8ef865c112f93ba7b32d326449fc9b52cc851659e853725477e252cb3f50eb2c
R06_bottom_nav,DesktopTrainingWorkbench_Default,T_TrainingNavTraining.png,/Game/GameXXK/UI/ImageTruth/Training/T_TrainingNavTraining.T_TrainingNavTraining,,1254,1254,RGBA,true,true,底部五导航图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",2b0b7886f7d2db4ab915564b4adf9fb4d309dcf03efa688080b0e6eaf029839c
R07_top_toolbar,DesktopTrainingWorkbench_Default,T_TrainingTopToolbarAlwaysOnTop.png,/Game/GameXXK/UI/ImageTruth/Training/T_TrainingTopToolbarAlwaysOnTop.T_TrainingTopToolbarAlwaysOnTop,,1254,1254,RGBA,true,false,顶部工具栏图片图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",5771a66ac2817ded1c2bafcfabdbaae5f3ffee7a5dddf40e8c2ef49504ec0dab
R07_top_toolbar,DesktopTrainingWorkbench_Default,T_TownPsd_HudSettings.png,/Game/GameXXK/UI/Town/Textures/PSD/HUD/T_TownPsd_HudSettings.T_TownPsd_HudSettings,,130,132,RGBA,true,false,顶部工具栏图片图标,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",0a9c8f16053cc71fbbac46cb2faf60f6e9319d2f14d7e857922c116337bfdedd
R08_idle_strip,DesktopTrainingWorkbench_Default,T_TrainingIdleStrip_Background.png,/Game/GameXXK/UI/ImageTruth/Training/T_TrainingIdleStrip_Background.T_TrainingIdleStrip_Background,,1983,793,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Runtime repeats this same texture 3 times for the continuous idle-strip background; Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",6d8ce160fe33743229de60be700332dc08516f16bc8fc861b938bfa4931c2d76
R08_idle_strip,DesktopTrainingWorkbench_Default,T_TrainingHeroWalkLeft_1K.png,/Game/GameXXK/UI/Training/Generated/walkloop_pilot_v1/character_00_hero_walk_left/atlas_1K/T_TrainingHeroWalkLeft_1K.T_TrainingHeroWalkLeft_1K,,1024,1024,RGBA,true,false,顶部历练条、主角、宝箱与波次图标；连续背景同图平铺 3 次,"Exported from the current UE Texture2D; keep filename, canvas size, and alpha for replacement.",e8f7a96435bf86cde84ea7d490e8f129f808fa2991043edea6d337acaede9f55
