UE资产路径,容器原始路径,字节,KB,MB,类别,扩展名
/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Ferry_GeneratedV2.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/Textures/T_BattleArena_Ferry_GeneratedV2.uasset,1357343,1325.5,1.294,战斗UI/特效,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_05_ironfeather_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_05_ironfeather_2k_idle_atlas.uasset,1348560,1317.0,1.286,战斗动画图集,.uasset
/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Cliff_GeneratedV2.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/Textures/T_BattleArena_Cliff_GeneratedV2.uasset,1348407,1316.8,1.286,战斗UI/特效,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_21_tiger_boss_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_21_tiger_boss_2k_idle_atlas.uasset,1312399,1281.6,1.252,战斗动画图集,.uasset
/Game/GameXXK/UI/QuestDialog/Textures/T_QuestDialogLeave.uasset,../../../GameXXK/Content/GameXXK/UI/QuestDialog/Textures/T_QuestDialogLeave.uasset,1290974,1260.7,1.231,其他UI,.uasset
/Game/GameXXK/UI/Battle/Textures/T_BattleArena_WaterShore_GeneratedV2.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/Textures/T_BattleArena_WaterShore_GeneratedV2.uasset,1290955,1260.7,1.231,战斗UI/特效,.uasset
/Game/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Backpack.uasset,../../../GameXXK/Content/GameXXK/UI/Town/Textures/PSD/Backgrounds/T_TownPsd_Background_Backpack.uasset,1275931,1246.0,1.217,城镇UI,.uasset
/Game/GameXXK/UI/RouteMap/T_RouteBackground.uasset,../../../GameXXK/Content/GameXXK/UI/RouteMap/T_RouteBackground.uasset,1275798,1245.9,1.217,其他UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_07_tusi_chief_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_07_tusi_chief_2k_idle_atlas.uasset,1272712,1242.9,1.214,战斗动画图集,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_09_macaque_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_09_macaque_2k_idle_atlas.uasset,1250685,1221.4,1.193,战斗动画图集,.uasset
/Game/GameXXK/UI/Battle/VFX/UltimateLightning057/T_UltimateLightning057_Atlas_03.uasset,../../../GameXXK/Content/GameXXK/UI/Battle/VFX/UltimateLightning057/T_UltimateLightning057_Atlas_03.uasset,1219005,1190.4,1.163,战斗UI/特效,.uasset
/Game/GameXXK/UI/QuestDialog/Textures/T_QuestDialogFrame.uasset,../../../GameXXK/Content/GameXXK/UI/QuestDialog/Textures/T_QuestDialogFrame.uasset,1208503,1180.2,1.153,其他UI,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_15_vulture_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_15_vulture_2k_idle_atlas.uasset,1194499,1166.5,1.139,战斗动画图集,.uasset
