类别,个数,字节,MB,占.uasset%
战斗动画图集,98,69645322,66.42,28.97
剧情插画,62,44674378,42.6,18.58
其他UI,362,39023435,37.22,16.23
战斗UI/特效,76,27490984,26.22,11.44
角色/精灵图,1792,21473939,20.48,8.93
城镇UI,92,13127261,12.52,5.46
引擎自带资源,463,10212112,9.74,4.25
其他（蓝图/数据/元数据）,4183,5479314,5.23,2.28
过场,4,3033152,2.89,1.26
剧情物品,14,2509269,2.39,1.04
卡牌卡面/卡框,50,2201259,2.1,0.92
剧情立绘,12,1512920,1.44,0.63
音频,22,11483,0.01,0.0
