region_id,screen_name,asset_filename,asset_relative_path,ue_asset_path,source_art_path,width,height,color_mode,has_alpha,shared,usage,notes,sha256
R01_background,11_BattleBoard/Terrains/06_Village_村镇,T_BattleArena_Village_GeneratedV2.png,T_BattleArena_Village_GeneratedV2.png,/Game/GameXXK/UI/Battle/Textures/T_BattleArena_Village_GeneratedV2.T_BattleArena_Village_GeneratedV2,,1672,941,RGBA,true,true,战场/场景背景,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",a13a3238a05f89976715e2c5c50710d1652b20b23c63292373dcfbeaec24604e
C01,11_BattleBoard/Terrains/06_Village_村镇,CODE_DRAWN,,,,,,,,true,文字、数值、纯色块与程序边框,No replacement PNG.,
