region_id,screen_name,asset_filename,asset_relative_path,ue_asset_path,source_art_path,width,height,color_mode,has_alpha,shared,usage,notes,sha256
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_BurnFlame.png,T_BattleStatus_BurnFlame.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_BurnFlame.T_BattleStatus_BurnFlame,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",8f6b5dae614da7d758890c6754f4a71a1c1fb0b4029ae1eedaec07a29ff58ed3
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_ChargeSpiralHorn.png,T_BattleStatus_ChargeSpiralHorn.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_ChargeSpiralHorn.T_BattleStatus_ChargeSpiralHorn,,512,512,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",e5c8a7ce6969867b44a760edd4bb2a5f3eb7686b773c2cc3d5dbb26f6a44498d
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_CounterHookBlade.png,T_BattleStatus_CounterHookBlade.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_CounterHookBlade.T_BattleStatus_CounterHookBlade,,512,512,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",ce522811619b46a91669b140e8338d5edaf4b0c74b868a33c138808665d6a4d1
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_GuardShield.png,T_BattleStatus_GuardShield.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_GuardShield.T_BattleStatus_GuardShield,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",74bee54147dc7bbc33f98772862501dc8d2a8e4e7d008cc41482bb666540b336
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_ImmunityTalisman.png,T_BattleStatus_ImmunityTalisman.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_ImmunityTalisman.T_BattleStatus_ImmunityTalisman,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",251fdd9dc4e7aec5cbd4ebc56bd01a2af4c7b3f19185530f261a869e02e4597f
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_MarkTarget.png,T_BattleStatus_MarkTarget.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_MarkTarget.T_BattleStatus_MarkTarget,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",7074aeeae2846e40aeb6618090b4c8439ee947befd9bebdc0411bba2c5d7afcf
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_MedicineHerbs.png,T_BattleStatus_MedicineHerbs.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_MedicineHerbs.T_BattleStatus_MedicineHerbs,,512,512,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",be6120cb6d17b75891eee17f51bd3836cab5704bafbca3d56c29d03deed97d8e
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_MomentumSeal.png,T_BattleStatus_MomentumSeal.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_MomentumSeal.T_BattleStatus_MomentumSeal,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",9f08e9fdd17e0b7b5dd967695c35a87b043ec6fa96f4a5019d62e3f1afe6a98a
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_PoisonVial.png,T_BattleStatus_PoisonVial.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_PoisonVial.T_BattleStatus_PoisonVial,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",0331b8077249507c00e3e94f5e7022ed60dc26026e22a2c39e1c72b79abbb5ee
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_PreyTargetEye.png,T_BattleStatus_PreyTargetEye.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_PreyTargetEye.T_BattleStatus_PreyTargetEye,,512,512,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",3d737623e8e4407ac91699e332f064ba137ab2eaab222867bb3dfcba977d333d
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_RageFlame.png,T_BattleStatus_RageFlame.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_RageFlame.T_BattleStatus_RageFlame,,512,512,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",308751b62541ffdb8c73e27f62e4e4f75814c97f169a6edb641a7ad7b8fafeee
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_RotSpiral.png,T_BattleStatus_RotSpiral.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_RotSpiral.T_BattleStatus_RotSpiral,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",2f7cb3e2eb5c5f18cbc939b173b1f745128e4a1ac6d48d7623b58ede87658457
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_TacticSeal.png,T_BattleStatus_TacticSeal.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_TacticSeal.T_BattleStatus_TacticSeal,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",6f4b0c96c378bc2d210de024fe3e29b83279caadad671c98cec273c2852fc527
R03_hud,17_BattleRetreatConfirm,T_BattleStatus_TerrainAndRedirect.png,T_BattleStatus_TerrainAndRedirect.png,/Game/GameXXK/UI/Battle/StatusIcons/T_BattleStatus_TerrainAndRedirect.T_BattleStatus_TerrainAndRedirect,,1254,1254,RGBA,true,true,状态图标、血蓝条与气力 HUD,"Exported from current UE Texture2D; preserve filename, canvas size, and alpha.",bab4130a86b1e55ffc6a78629f1ff59180463af89897b95496ee6c8ba7b735a6
